,fold,p.adj
GP9,-4.11039556615822,6.28606717410667e-09
SYNPO,-2.20260055771081,5.53408386792068e-30
TRIM59,2.03901218869381,9.39965278370159e-16
HAS1,-2.13173937714708,0.0116202453711941
EFCAB10,-2.11391896798515,2.5250953881477e-05
PEAR1,-2.67479052523132,2.77935590753445e-24
ACE,-2.67079697872228,8.92573172599728e-21
CREG2,2.61349986230835,3.4867023686418e-07
CCNI2,-2.15775507362997,1.03033767673001e-22
KRT9,2.47215923911988,2.10595864149297e-05
AC079210.1,-2.57772774063877,5.93500610263585e-14
SPRR2A,5.96431767469659,7.00452773099953e-05
SALL4,2.88573764323683,2.24050368932553e-06
C20orf26,-2.0913714262992,8.80513723604527e-06
CCDC170,-2.89638171831401,3.54298331558557e-07
GPRC5A,-3.36780263612171,1.13629205223292e-26
CRISP2,-2.26236531094473,0.00783679874207214
VNN2,-2.36679966596021,1.43262425553371e-11
F12,3.67851407681932,6.58622964386158e-12
MYEOV,2.86528560548879,0.0440729497014158
COL6A6,-3.98020058451631,1.89770750485707e-19
PDE8B,-2.04834323091423,3.88790986755184e-17
SMO,2.02220022123576,6.29175034803864e-15
TCTEX1D1,-3.0781226094519,2.13350154448112e-07
NHLRC4,-2.36875417865811,2.02367847199635e-06
ARHGAP11A,2.75482097422993,4.20683810161746e-21
TMEM130,-2.78669920160876,0.000103556623823783
PTPRH,3.20910008793423,4.61819052099694e-09
NPY4R,-2.02671930584281,1.26651764907e-05
PIEZO2,-2.23079252865752,2.0182674599028e-12
PLAU,2.148401187492,5.23145014763486e-08
MAGED4B,2.43640378926303,1.94579670388634e-14
VNN3,-2.21842920755587,4.13908006670284e-05
DNASE2B,-4.18371612617645,1.77986411286768e-11
CTHRC1,3.21381120186511,4.56134640117013e-10
SIM2,2.55598753016463,2.09809454013512e-11
TM4SF4,-2.2767576824895,0.00115993052262668
RGS7BP,-2.27473345858741,8.24757017299485e-13
TRHDE,-3.63241448168655,2.54790557131109e-14
ANGPTL7,-4.11860245909407,2.69778154390088e-12
ZIC2,4.54784567637988,7.96088886064488e-05
RAET1L,5.93378732699593,1.78481741530475e-06
UBASH3B,-2.14259392407964,1.09841513621145e-13
SNX22,-2.96774252015471,5.65525760811975e-19
CCDC65,-2.56866093270621,3.12436812997296e-07
SLC9A4,2.42621423343219,0.00140807453729807
RASGEF1B,-2.0393856294615,2.20134541874355e-15
COX7A1,-2.52840251818958,1.12089757747385e-11
INA,3.1763975641743,8.8155892851047e-07
DOCK2,-2.08020955783218,2.77843416070173e-20
CASC1,-2.32583521757223,5.14522147251189e-06
GNG11,-3.3239952730403,6.99007652332458e-21
PADI4,-3.07308736919122,1.26797297467856e-06
GPR116,-4.03780389884275,6.82338567564401e-42
PLA2G5,-2.16417658803873,2.20016174499422e-14
KIAA1683,-2.84762010427364,1.67845362593085e-08
SLFNL1,-2.89978535697932,1.3682599240925e-17
RPTN,2.57992508509477,0.0230160460425174
TCF24,2.37474099883568,1.26793735181506e-05
C3orf72,2.16614452999322,0.00276348615596454
SH2D4B,-2.2310672172171,1.8309465426761e-14
CTSG,-3.25039396456427,4.2632806135636e-07
MAMDC2,-4.24020660380122,3.99987156190042e-19
LEPREL4,2.0383913732409,1.81763625196316e-14
THBS2,2.18060227904864,2.29004068557328e-06
TMEM79,2.33900451582219,4.5555078972135e-10
C1orf162,-3.16359747989437,2.67586355610062e-32
